ticker,company,fiscal_year,fiscal_year_end,filed,source_url,currency,revenue,gross_profit,cost_of_revenue,operating_income,net_income,operating_cash_flow,capex,assets,liabilities,equity
AAPL,Apple Inc.,2021,2021-09-25,2023-11-03,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,USD,365817000000,152836000000.0,212981000000.0,108949000000,94680000000,104038000000,11085000000,351002000000.0,287912000000.0,63090000000
AAPL,Apple Inc.,2022,2022-09-24,2024-11-01,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,USD,394328000000,170782000000.0,223546000000.0,119437000000,99803000000,122151000000,10708000000,352755000000.0,302083000000.0,50672000000
AAPL,Apple Inc.,2023,2023-09-30,2025-10-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,USD,383285000000,169148000000.0,214137000000.0,114301000000,96995000000,110543000000,10959000000,352583000000.0,290437000000.0,62146000000
AAPL,Apple Inc.,2024,2024-09-28,2025-10-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,USD,391035000000,180683000000.0,210352000000.0,123216000000,93736000000,118254000000,9447000000,364980000000.0,308030000000.0,56950000000
AAPL,Apple Inc.,2025,2025-09-27,2025-10-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,USD,416161000000,195201000000.0,220960000000.0,133050000000,112010000000,111482000000,12715000000,359241000000.0,285508000000.0,73733000000
AMAT,"Applied Materials, Inc.",2021,2021-10-31,2023-12-15,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,USD,23063000000,10914000000.0,12149000000.0,6889000000,5888000000,5442000000,668000000,25825000000.0,13578000000.0,12247000000
AMAT,"Applied Materials, Inc.",2022,2022-10-30,2024-12-13,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,USD,25785000000,11993000000.0,13792000000.0,7788000000,6525000000,5399000000,787000000,26726000000.0,14532000000.0,12194000000
AMAT,"Applied Materials, Inc.",2023,2023-10-29,2025-12-12,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,USD,26517000000,12384000000.0,14133000000.0,7654000000,6856000000,8700000000,1106000000,30729000000.0,14380000000.0,16349000000
AMAT,"Applied Materials, Inc.",2024,2024-10-27,2025-12-12,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,USD,27176000000,12897000000.0,14279000000.0,7867000000,7177000000,8677000000,1190000000,34409000000.0,15408000000.0,19001000000
AMAT,"Applied Materials, Inc.",2025,2025-10-26,2025-12-12,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,USD,28368000000,13808000000.0,14560000000.0,8289000000,6998000000,7958000000,2260000000,36299000000.0,15884000000.0,20415000000
AMD,"Advanced Micro Devices, Inc.",2021,2021-12-25,2024-01-31,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,USD,16434000000,7929000000.0,8505000000.0,3648000000,3162000000,3521000000,301000000,12419000000.0,,7497000000
AMD,"Advanced Micro Devices, Inc.",2022,2022-12-31,2025-02-05,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,USD,23601000000,10603000000.0,12998000000.0,1264000000,1320000000,3565000000,450000000,67580000000.0,,54750000000
AMD,"Advanced Micro Devices, Inc.",2023,2023-12-30,2026-02-04,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,USD,22680000000,10460000000.0,12220000000.0,401000000,854000000,1667000000,546000000,67885000000.0,,55892000000
AMD,"Advanced Micro Devices, Inc.",2024,2024-12-28,2026-02-04,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,USD,25785000000,12725000000.0,13060000000.0,1900000000,1641000000,3041000000,636000000,69226000000.0,,57568000000
AMD,"Advanced Micro Devices, Inc.",2025,2025-12-27,2026-02-04,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,USD,34639000000,17152000000.0,17487000000.0,3694000000,4335000000,7709000000,974000000,76926000000.0,,62999000000
AMZN,"Amazon.com, Inc.",2021,2021-12-31,2024-02-02,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,USD,469822000000,197478000000.0,272344000000.0,24879000000,33364000000,46327000000,61053000000,420549000000.0,,138245000000
AMZN,"Amazon.com, Inc.",2022,2022-12-31,2025-02-07,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,USD,513983000000,225152000000.0,288831000000.0,12248000000,-2722000000,46752000000,63645000000,462675000000.0,,146043000000
AMZN,"Amazon.com, Inc.",2023,2023-12-31,2026-02-06,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,USD,574785000000,270046000000.0,304739000000.0,36852000000,30425000000,84946000000,52729000000,527854000000.0,,201875000000
AMZN,"Amazon.com, Inc.",2024,2024-12-31,2026-02-06,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,USD,637959000000,311671000000.0,326288000000.0,68593000000,59248000000,115877000000,82999000000,624894000000.0,,285970000000
AMZN,"Amazon.com, Inc.",2025,2025-12-31,2026-02-06,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,USD,716924000000,360510000000.0,356414000000.0,79975000000,77670000000,139514000000,131819000000,818042000000.0,,411065000000
ASML,ASML Holding N.V.,2021,2021-12-31,2024-02-14,https://data.sec.gov/api/xbrl/companyfacts/CIK0000937966.json,EUR,18611000000,9809000000.0,8802000000.0,6750100000,5883200000,10845800000,900700000,30231000000.0,20090400000.0,10140600000
ASML,ASML Holding N.V.,2022,2022-12-31,2025-03-05,https://data.sec.gov/api/xbrl/companyfacts/CIK0000937966.json,EUR,21173400000,10700100000.0,10473300000.0,6500700000,5624200000,8486800000,1281800000,36300400000.0,27489600000.0,8810800000
ASML,ASML Holding N.V.,2023,2023-12-31,2026-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000937966.json,EUR,27558500000,14136100000.0,13422400000.0,9042300000,7839000000,5443400000,2155600000,39957500000.0,26505100000.0,13452400000
ASML,ASML Holding N.V.,2024,2024-12-31,2026-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000937966.json,EUR,28262900000,14492000000.0,13770900000.0,9022600000,7571600000,11166200000,2067200000,48589600000.0,30112800000.0,18476800000
